,Plate,sp_sps dis,sp_sps time,ps-sps dis,ps_sps time,sp_sphs dis,sp_sphs time,ph_sphs dis,ph_sphs time,hs_sphs dis,hs_sphs time,moves,# sps,,,,# sphs,,,
0,110JG,17.86375339,14.6433167,23.59988708,15.01633727,15.55947619,13.29733248,18.58895238,10.32775576,20.27454762,15.86023691,sp_sps,738,42.6031746,max:,1642,1400,32.84744911,max:,4072
1,111IZ,31.24671875,17.97056841,31.46630208,18.5668234,18.1152968,12.10430641,31.06741683,20.46118891,31.85238095,24.8685085,ps_sps,320,16.06349206,min:,67,511,10.50515205,min:,93
2,125KK,19.45927165,11.45354452,21.99184318,11.49894639,14.0747455,9.002202367,19.20283216,11.80480035,14.00302793,8.36880624,sp_sphs,897,52.6984127,,,1277,29.75622016,,
3,171LF,15.7511708,8.629340152,23.36398072,9.231374695,11.78602905,7.34786604,19.92594781,9.227154697,11.7475997,5.079942051,ph_sphs,726,41.84126984,,,1354,31.69137974,,
4,278JI,13.18320346,8.407752044,20.31015873,8.874049525,10.13912663,6.926055327,16.7232607,8.182913016,12.57768443,6.942888599,hs_sphs,1155,69.07936508,,,3809,93.39029907,,
5,417IZ,15.84982098,9.44073015,24.0641067,9.673210492,12.35980918,8.035602459,22.68237925,12.63952658,19.95304114,12.17201894,,931,54.85714286,,,2236,53.8577532,,
6,440HY,12.80606804,8.466389513,18.20585541,8.625399249,9.531683417,6.594083851,16.5371943,8.557194861,10.62963149,4.907132393,,1019,60.44444444,,,1990,47.6752953,,
7,445LI,25.81911315,12.48294341,35.33425076,16.83466943,15.15983464,8.186894109,31.06344648,18.85246704,30.61418625,21.05328416,,218,9.587301587,,,383,7.288263383,,
8,471IH,15.7205102,10.45782871,21.22670068,10.40894082,11.63497807,8.603014796,21.72995614,13.0824536,16.59807018,10.01343135,,980,57.96825397,,,1520,35.86328223,,
9,569IZ,13.72665581,10.9263405,21.96282573,11.47381093,11.50963415,8.229833246,26.8339187,22.05962971,22.00637398,21.07747879,,1228,73.71428571,,,2050,49.18321186,,
10,580IZ,20.03535276,15.53289739,24.80761759,16.05973583,15.42626978,12.31397463,25.61616708,19.13402404,30.12781016,26.71471097,,652,37.14285714,,,1201,27.84619251,,
11,624KK,39.30666667,24.00997676,42.36048611,25.86361505,25.10086888,20.64995915,31.47851501,22.89829729,34.87503949,27.68393062,,240,10.98412698,,,211,2.965569239,,
12,724HU,17.25031746,11.12178996,24.78484127,11.86549708,12.53582834,8.294948738,26.29620758,15.71490085,24.04424484,15.31462031,,210,9.079365079,,,501,10.25383262,,
13,761GV,40.61492537,21.87959499,34.78905473,20.55103833,19.08709677,16.34009581,28.4781362,21.43164089,32.14802867,25.53283688,,67,0,,,93,0,,
14,796ES,16.90087413,11.02129812,21.20885781,10.24167522,10.74996732,7.505016896,17.84401961,9.327317172,12.65604575,6.769452602,,286,13.9047619,,,510,10.48002011,,
15,853KK,15.98878719,12.41966675,30.09612891,16.78952986,11.81995869,9.039461373,28.41074103,20.36638724,24.60227214,20.54135826,,874,51.23809524,,,1291,30.10806735,,
16,992JH,13.42931384,8.156910747,18.71519488,8.228215093,11.56579895,7.594635499,16.5480722,8.76294851,10.30780534,5.339551348,,1642,100,,,4072,100,,
,,20.29132492,12.76593464,25.78165249,13.5178158,13.89155308,10.00384019,23.47218609,14.87238827,21.11869353,15.19059935,,,,,,,,,
